,date,Open,High,Low,Close,Volume,Volume($),sector_name,sector_ticker
0,2003-12-31,578.5,824.26,512.3,810.71,109666469113,355362625966515,코스피,1001
1,2003-12-31,816.98,1270.76,756.76,1266.36,5589244098,8933445615790,음식료품,1005
2,2003-12-31,117.12,117.64,78.72,90.2,9205431257,1497448308875,섬유의복,1006
3,2003-12-31,175.06,203.93,150.14,194.75,5508241603,1220602136115,종이목재,1007
4,2003-12-31,619.29,1038.9,518.64,994.42,6270364006,26070792443745,화학,1008
5,2003-12-31,870.24,1259.66,801.15,1186.47,1587011043,2760385541120,의약품,1009
6,2003-12-31,576.24,962.73,532.23,865.57,927381768,2991304672780,비금속광물,1010
7,2003-12-31,1241.88,1900.7,1046.4,1887.98,2473756814,20016216415515,철강금속,1011
8,2003-12-31,211.95,450.77,186.32,430.31,7107979116,5132226351035,기계,1012
9,2003-12-31,2972.5,4791.88,2822.56,4520.71,25234153520,101847520426770,전기전자,1013
10,2003-12-31,218.37,428.89,185.79,422.48,2444314458,1696054631980,의료정밀,1014
11,2003-12-31,310.86,605.53,265.93,585.44,5701626196,32783336769095,운수장비,1015
12,2003-12-31,182.93,268.41,141.13,247.6,7340639766,16558255497700,유통업,1016
13,2003-12-31,550.81,745.45,515.79,634.53,351434214,16369231602400,전기가스업,1017
14,2003-12-31,44.6,67.33,39.11,66.75,12286347828,8099677083685,건설업,1018
15,2003-12-31,445.7,988.75,286.82,977.33,3176168342,4734964554840,운수창고업,1019
16,2003-12-31,288.17,349.97,254.54,318.63,340595801,29369258136080,통신업,1020
17,2003-12-31,214.98,275.46,163.15,251.25,11846898621,59991594511355,금융업,1021
18,2003-12-31,139.32,186.16,105.32,179.69,2705128673,34319783986960,은행,1022
19,2003-12-31,1042.66,1384.29,760.11,1001.21,4968260770,7939345293515,증권,1024
20,2003-12-31,3948.2,5185.89,3169.82,4999.03,583593869,5110071113710,보험,1025
21,2003-12-31,246.73,357.9,216.47,334.97,859831666,10563054110920,서비스업,1026
22,2003-12-31,886.67,1404.76,817.51,1387.78,73121484084,209268878229685,제조업,1027
23,2004-12-31,816.26,939.52,713.99,895.92,92850770285,412588138748165,코스피,1001
24,2004-12-31,1269.72,1492.57,1113.69,1492.57,4821063808,11215809503950,음식료품,1005
25,2004-12-31,90.45,93.07,65.76,70.47,2819280837,1168762861745,섬유의복,1006
26,2004-12-31,195.21,217.41,144.55,215.01,3828936395,1421875656660,종이목재,1007
27,2004-12-31,996.36,1420.84,860.43,1343.97,4688761187,35532864930250,화학,1008
28,2004-12-31,1187.48,1664.44,1075.43,1594.97,3595637388,4137899874715,의약품,1009
29,2004-12-31,866.17,983.3,664.62,913.49,917163486,3538058364555,비금속광물,1010
30,2004-12-31,1896.11,2408.37,1457.25,2220.56,2336902324,22844064509490,철강금속,1011
31,2004-12-31,433.51,498.32,325.56,432.03,7966216861,5311848356100,기계,1012
32,2004-12-31,4544.95,6248.02,3952.73,4573.91,23873725809,114319276375605,전기전자,1013
33,2004-12-31,427.47,440.1,225.84,256.45,2344913823,983307259805,의료정밀,1014
34,2004-12-31,591.67,625.4,434.1,600.26,5368407983,34235870962790,운수장비,1015
35,2004-12-31,251.23,290.76,208.19,240.05,5692312159,16880348745330,유통업,1016
36,2004-12-31,635.9,828.93,574.18,800.29,402515749,20669456774050,전기가스업,1017
37,2004-12-31,67.39,92.29,52.65,92.29,2594524825,11704924259050,건설업,1018
38,2004-12-31,984.5,1289.11,611.16,1178.31,4853171181,5809305108495,운수창고업,1019
39,2004-12-31,319.89,362.48,252.95,316.08,467501555,32883089627730,통신업,1020
40,2004-12-31,253.94,296.76,202.7,288.45,12152387442,67750768010380,금융업,1021
41,2004-12-31,181.82,209.37,144.41,187.55,2262302205,30237650814680,은행,1022
42,2004-12-31,1015.42,1220.75,722.19,1017.89,4387556901,7920082333795,증권,1024
43,2004-12-31,4977.66,6398.15,4438.78,6023.95,420042400,6193047849610,보험,1025
44,2004-12-31,338.78,447.97,335.17,418.0,2035043162,16187406945290,서비스업,1026
45,2004-12-31,1395.48,1682.26,1236.57,1510.51,63385190836,240463987164140,제조업,1027
46,2005-12-31,896.0,1383.14,866.17,1379.37,116439734090,655074594730170,코스피,1001
47,2005-12-31,1487.72,2391.96,1412.9,2322.15,4327265370,17178900118745,음식료품,1005
48,2005-12-31,71.19,169.56,70.42,166.75,2979765785,3121879501900,섬유의복,1006
49,2005-12-31,214.96,393.0,210.31,385.82,7822570938,2599341900565,종이목재,1007
50,2005-12-31,1339.03,1750.82,1254.72,1683.66,5797770306,46505218582715,화학,1008
51,2005-12-31,1597.88,3799.03,1595.59,3481.03,4478196207,9368979830670,의약품,1009
52,2005-12-31,915.83,1302.99,806.42,985.25,1771030105,4375552399060,비금속광물,1010
53,2005-12-31,2219.18,3056.15,2092.16,2574.26,4753537037,26709406225310,철강금속,1011
54,2005-12-31,432.63,928.14,414.17,928.12,14422690621,13455327774255,기계,1012
55,2005-12-31,4585.63,6830.65,4415.6,6761.03,21870924519,173516812410810,전기전자,1013
56,2005-12-31,259.77,570.75,258.19,538.74,3991871035,1837426771060,의료정밀,1014
57,2005-12-31,600.94,1130.39,589.59,1126.54,8642874658,65432129494605,운수장비,1015
58,2005-12-31,239.91,403.15,238.16,400.72,5483649787,30845428461280,유통업,1016
59,2005-12-31,802.56,1149.62,747.07,1109.76,358647841,28662374250000,전기가스업,1017
60,2005-12-31,92.96,198.61,91.14,198.61,2496800706,25289829323135,건설업,1018
61,2005-12-31,1181.18,1653.08,1065.18,1629.29,3521554843,10081621094710,운수창고업,1019
62,2005-12-31,316.81,342.71,273.29,305.96,674148929,31947002419750,통신업,1020
63,2005-12-31,286.5,546.76,267.11,543.13,18870272899,131200828279800,금융업,1021
64,2005-12-31,190.3,356.11,184.63,351.36,1550348016,46346281651650,은행,1022
65,2005-12-31,1039.24,2994.89,993.67,2949.3,14252941362,21556159520410,증권,1024
66,2005-12-31,6034.68,12708.8,5530.91,12366.35,915844728,12732706890890,보험,1025
67,2005-12-31,419.66,622.16,411.69,614.85,1880325354,24476734750490,서비스업,1026
68,2005-12-31,1511.82,2284.35,1462.62,2273.7,82846118351,372111200705455,제조업,1027
69,2006-12-31,1383.32,1464.7,1192.09,1434.46,68936782766,704587507977345,코스피,1001
70,2006-12-31,2317.7,2566.44,1995.41,2484.6,2115107976,19422323690160,음식료품,1005
71,2006-12-31,167.44,192.04,149.08,189.97,1067953602,4166333627415,섬유의복,1006
72,2006-12-31,385.5,395.25,265.14,343.09,2933414151,2427119898220,종이목재,1007
73,2006-12-31,1679.25,1923.67,1482.43,1921.09,3518813391,54865291810390,화학,1008
74,2006-12-31,3485.96,3721.0,2585.22,3687.61,2139228359,9734038620355,의약품,1009
75,2006-12-31,989.76,1020.48,771.77,958.93,1293130717,4316650728485,비금속광물,1010
76,2006-12-31,2568.4,3854.88,2518.66,3766.81,1794245278,38630501734955,철강금속,1011
77,2006-12-31,941.02,1038.62,723.94,1034.02,8473891399,13122813761850,기계,1012
78,2006-12-31,6791.85,7250.7,5255.5,5885.39,14612716093,153765860017740,전기전자,1013
79,2006-12-31,543.66,998.16,539.55,862.18,1758121190,2948484893610,의료정밀,1014
80,2006-12-31,1136.87,1153.44,920.02,1027.13,4407702378,58282152611410,운수장비,1015
81,2006-12-31,402.44,480.2,365.38,477.24,3351460935,50451615513640,유통업,1016
82,2006-12-31,1099.1,1322.1,1003.3,1244.28,402847742,32303262483800,전기가스업,1017
83,2006-12-31,198.52,264.73,166.33,248.09,1939885172,31642605695095,건설업,1018
84,2006-12-31,1631.04,1897.14,1274.07,1707.46,2471232371,11683819076430,운수창고업,1019
85,2006-12-31,305.12,386.7,292.66,366.5,732658607,38644240318750,통신업,1020
86,2006-12-31,546.04,585.73,461.2,556.53,12972224963,137881162656225,금융업,1021
87,2006-12-31,350.93,393.53,303.77,338.97,1509595899,44705187956400,은행,1022
88,2006-12-31,2993.87,3207.28,1979.22,2570.95,9119066551,20799705298905,증권,1024
89,2006-12-31,12596.68,13846.08,10091.47,13744.22,833413245,14225700590640,보험,1025
90,2006-12-31,613.22,663.51,507.87,606.98,2047910116,30466023592295,서비스업,1026
91,2006-12-31,2282.83,2382.27,1896.07,2263.96,44917087097,371041805549280,제조업,1027
92,2007-12-31,1438.89,2085.45,1345.08,1897.13,89506074528,951904852427970,코스피,1001
93,2007-12-31,2484.83,3392.34,2186.29,2901.99,1578934729,23013134455555,음식료품,1005
94,2007-12-31,190.3,260.32,171.96,217.37,2255599316,5090100412495,섬유의복,1006
95,2007-12-31,350.29,500.06,317.75,412.11,2901431359,2945643488050,종이목재,1007
96,2007-12-31,1920.63,3794.04,1792.16,3130.27,5089634641,85870638801575,화학,1008
